"","id","state","party","year","agree","recipient"
"1",1,"AK","R",2017,1.15833071372697,"0"
"2",2,"AK","R",2017,1.19494973852688,"0"
"3",3,"AK","R",2017,0.783694412322375,"0"
"4",4,"AL","R",2017,0.267307806765271,"0"
"5",5,"AL","R",2017,1.09470281462888,"0"
"6",6,"AL","R",2017,0.647156143155625,"0"
"7",7,"AL","R",2017,0.870681774066262,"0"
"8",8,"AL","R",2017,1.05906969486937,"0"
"9",9,"AL","R",2017,1.46892286592683,"0"
"10",10,"AL","R",2017,1.12318519470715,"0"
"11",11,"AL","R",2017,1.7091842492966,"0"
"12",12,"AL","R",2017,0.565640419151434,"0"
"13",13,"AL","R",2017,0.935951647916069,"0"
"14",14,"AL","R",2017,1.09395683192195,"0"
"15",15,"AL","R",2017,1.00817311954111,"0"
"16",16,"AL","R",2017,0.982481071175752,"0"
"17",17,"AL","R",2017,1.09586366827619,"0"
"18",18,"AL","R",2017,1.20944215245656,"0"
"19",19,"AL","R",2017,0.813754239542739,"0"
"20",20,"AL","R",2017,1.11156159519756,"0"
"21",21,"AL","R",2017,1.52397461658978,"0"
"22",22,"AL","D",2017,0.0262332040778992,"0"
"23",23,"AL","D",2017,0.331702118211058,"0"
"24",24,"AL","D",2017,0.274958188431128,"0"
"25",25,"AR","R",2017,1.18692488796409,"0"
"26",26,"AR","R",2017,0.44492963099694,"0"
"27",27,"AR","R",2017,1.05919945773573,"0"
"28",28,"AR","R",2017,0.723875655093661,"0"
"29",29,"AR","R",2017,0.965870317605137,"0"
"30",30,"AR","R",2017,0.912110806928637,"0"
"31",31,"AR","R",2017,0.935021560074265,"0"
"32",32,"AR","R",2017,1.04638193059513,"0"
"33",33,"AR","R",2017,1.00916896720378,"0"
"34",34,"AR","R",2017,0.734618979985127,"0"
"35",35,"AR","R",2017,0.406791808832165,"0"
"36",36,"AR","R",2017,1.07285245983071,"0"
"37",37,"AZ","R",2017,1.088968119919,"1"
"38",38,"AZ","R",2017,0.589907531630219,"1"
"39",39,"AZ","R",2017,1.45288623660531,"1"
"40",40,"AZ","R",2017,0.83246605083655,"1"
"41",41,"AZ","R",2017,1.04590920417456,"1"
"42",42,"AZ","D",2017,-0.160385818338453,"1"
"43",43,"AZ","D",2017,-0.109919447920908,"1"
"44",44,"AZ","D",2017,-0.108590340090378,"1"
"45",45,"AZ","R",2017,1.08708214452305,"1"
"46",46,"AZ","R",2017,0.820689364109182,"1"
"47",47,"AZ","R",2017,1.4981102751473,"1"
"48",48,"AZ","D",2017,0.53772211657211,"1"
"49",49,"AZ","D",2017,0.417371618138792,"1"
"50",50,"AZ","D",2017,0.147923161130544,"1"
"51",51,"AZ","D",2017,0.0181679368676855,"1"
"52",52,"AZ","D",2017,-0.152873284218305,"1"
"53",53,"AZ","R",2017,1.14375684122541,"1"
"54",54,"AZ","R",2017,0.745239155128381,"1"
"55",55,"AZ","R",2017,1.36194951475128,"1"
"56",56,"AZ","R",2017,0.527157676034976,"1"
"57",57,"AZ","D",2017,-0.0758158916635602,"1"
"58",58,"AZ","D",2017,0.0424246478283931,"1"
"59",59,"AZ","D",2017,-0.564611726775344,"1"
"60",60,"AZ","R",2017,1.31122063731685,"1"
"61",61,"AZ","R",2017,1.33598445877415,"1"
"62",62,"AZ","R",2017,0.82304944159848,"1"
"63",63,"AZ","D",2017,1.10042832627203,"1"
"64",64,"AZ","D",2017,-0.0332434000670151,"1"
"65",65,"AZ","D",2017,0.0347889151830705,"1"
"66",66,"CA","D",2017,0.0605312396518459,"0"
"67",67,"CA","D",2017,0.0280474069230809,"0"
"68",68,"CA","D",2017,0.352132046250936,"0"
"69",69,"CA","D",2017,0.000628673870388841,"0"
"70",70,"CA","D",2017,-0.224041016754724,"0"
"71",71,"CA","D",2017,0.336728267851745,"0"
"72",72,"CA","D",2017,-0.25499232742473,"0"
"73",73,"CA","D",2017,0.0957857664074536,"0"
"74",74,"CA","D",2017,0.353248684702802,"0"
"75",75,"CA","D",2017,0.556800249354964,"0"
"76",76,"CA","D",2017,-0.199482132837921,"0"
"77",77,"CA","D",2017,0.37431172051915,"0"
"78",78,"CA","D",2017,0.303032472761141,"0"
"79",79,"CA","D",2017,-0.0304673415079502,"0"
"80",80,"CA","D",2017,0.296612014340642,"0"
"81",81,"CA","D",2017,0.23024094262942,"0"
"82",82,"CA","D",2017,0.57557750576861,"0"
"83",83,"CA","R",2017,0.813605806644021,"0"
"84",84,"CA","R",2017,1.57557549375012,"0"
"85",85,"CA","R",2017,0.546280996664687,"0"
"86",86,"CA","D",2017,0.210492330853743,"0"
"87",87,"CA","D",2017,0.0831043465731806,"0"
"88",88,"CA","D",2017,0.316138782829246,"0"
"89",89,"CA","D",2017,0.106229231435295,"0"
"90",90,"CA","D",2017,0.251040017867725,"0"
"91",91,"CA","D",2017,0.408078293935809,"0"
"92",92,"CA","R",2017,0.680708710765793,"0"
"93",93,"CA","R",2017,1.07778509081213,"0"
"94",94,"CA","R",2017,0.794318533353786,"0"
"95",95,"CA","D",2017,0.299386933157716,"0"
"96",96,"CA","D",2017,-0.140009920041554,"0"
"97",97,"CA","D",2017,-0.0933456571940883,"0"
"98",98,"CA","D",2017,0.59274980276495,"0"
"99",99,"CA","D",2017,-0.0775293820526467,"0"
"100",100,"CA","D",2017,0.416183677762861,"0"
"101",101,"CA","D",2017,0.640359740928919,"0"
"102",102,"CA","D",2017,-0.0153203437124194,"0"
"103",103,"CA","D",2017,0.619379624110376,"0"
"104",104,"CA","D",2017,0.0413666303371542,"0"
"105",105,"CA","D",2017,-0.168934956438073,"0"
"106",106,"CA","D",2017,-0.507848466799923,"0"
"107",107,"CA","D",2017,0.00742218366873924,"0"
"108",108,"CA","D",2017,-0.155725769449487,"0"
"109",109,"CA","D",2017,0.45646956378232,"0"
"110",110,"CA","D",2017,0.0177832922981787,"0"
